From	To	Species	Gene Name
ARAF	369	Homo sapiens	A-Raf proto-oncogene, serine/threonine kinase(ARAF)
CBLC	23624	Homo sapiens	Cbl proto-oncogene C(CBLC)
IKZF1	10320	Homo sapiens	IKAROS family zinc finger 1(IKZF1)
ALCAM	214	Homo sapiens	activated leukocyte cell adhesion molecule(ALCAM)
TBK1	29110	Homo sapiens	TANK binding kinase 1(TBK1)
AKT2	208	Homo sapiens	AKT serine/threonine kinase 2(AKT2)
CHEK2	11200	Homo sapiens	checkpoint kinase 2(CHEK2)
STMN1	3925	Homo sapiens	stathmin 1(STMN1)
KDR	3791	Homo sapiens	kinase insert domain receptor(KDR)
AKT1	207	Homo sapiens	AKT serine/threonine kinase 1(AKT1)
PRKACA	5566	Homo sapiens	protein kinase cAMP-activated catalytic subunit alpha(PRKACA)
EPHB4	2050	Homo sapiens	EPH receptor B4(EPHB4)
DKK1	22943	Homo sapiens	dickkopf WNT signaling pathway inhibitor 1(DKK1)
EREG	2069	Homo sapiens	epiregulin(EREG)
RUNX1	861	Homo sapiens	RUNX family transcription factor 1(RUNX1)
AR	367	Homo sapiens	androgen receptor(AR)
EWSR1	2130	Homo sapiens	EWS RNA binding protein 1(EWSR1)
BTK	695	Homo sapiens	Bruton tyrosine kinase(BTK)
TP53	7157	Homo sapiens	tumor protein p53(TP53)
ABCB1	5243	Homo sapiens	ATP binding cassette subfamily B member 1(ABCB1)
EPAS1	2034	Homo sapiens	endothelial PAS domain protein 1(EPAS1)
TGFA	7039	Homo sapiens	transforming growth factor alpha(TGFA)
GATA2	2624	Homo sapiens	GATA binding protein 2(GATA2)
HIF1A	3091	Homo sapiens	hypoxia inducible factor 1 subunit alpha(HIF1A)
HSPH1	10808	Homo sapiens	heat shock protein family H (Hsp110) member 1(HSPH1)
TERT	7015	Homo sapiens	telomerase reverse transcriptase(TERT)
HMOX1	3162	Homo sapiens	heme oxygenase 1(HMOX1)
PROM1	8842	Homo sapiens	prominin 1(PROM1)
IGF2	3481	Homo sapiens	insulin like growth factor 2(IGF2)
XRCC1	7515	Homo sapiens	X-ray repair cross complementing 1(XRCC1)
MTHFR	4524	Homo sapiens	methylenetetrahydrofolate reductase(MTHFR)
BRAF	673	Homo sapiens	B-Raf proto-oncogene, serine/threonine kinase(BRAF)
FLI1	2313	Homo sapiens	Fli-1 proto-oncogene, ETS transcription factor(FLI1)
SMARCA4	6597	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4(SMARCA4)
STAG2	10735	Homo sapiens	STAG2 cohesin complex component(STAG2)
REL	5966	Homo sapiens	REL proto-oncogene, NF-kB subunit(REL)
ATM	472	Homo sapiens	ATM serine/threonine kinase(ATM)
CDK12	51755	Homo sapiens	cyclin dependent kinase 12(CDK12)
BAP1	8314	Homo sapiens	BRCA1 associated protein 1(BAP1)
ATR	545	Homo sapiens	ATR serine/threonine kinase(ATR)
EZH2	2146	Homo sapiens	enhancer of zeste 2 polycomb repressive complex 2 subunit(EZH2)
RET	5979	Homo sapiens	ret proto-oncogene(RET)
